DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))"
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))"
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.066579610109329224"
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.022665208205580711"
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.022240962833166122"
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.041054006665945053"
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.050053872168064117"
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.11464381217956543"
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.10057545453310013"
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.061666190624237061"
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.24173961579799652"
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.026631845161318779"
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0090660834684967995"
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0088963853195309639"
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.016421603038907051"
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.020021548494696617"
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.045857526361942291"
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.040230181068181992"
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.024666476994752884"
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.096695847809314728" 
0, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.066579610109329224"
0, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.022665208205580711"
0, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.022240962833166122"
0, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.041054006665945053"
0, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.050053872168064117"
0, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.11464381217956543"
0, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.10057545453310013"
0, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.061666190624237061"
0, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.24173961579799652"
0, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.026631845161318779"
0, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.0090660834684967995"
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.0088963853195309639"
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.016421603038907051"
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.020021548494696617"
0, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.045857526361942291"
0, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.040230181068181992"
0, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.024666476994752884"
0, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.096695847809314728"
