OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,-0.6945793724299072
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.1464184860901271,1.1865372119049897
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1464184860901271,0.3307441862445684,-23.130152524569084*(x-0.1464184860901271)*(x-0.1464184860901271)*(x-0.1464184860901271)+12.790444676310646*(x-0.1464184860901271)*(x-0.1464184860901271)-2.357607670247606*(x-0.1464184860901271)+1.1865372119049897
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3307441862445684,0.3898026098705395,-2783.2452526083307*(x-0.3307441862445684)*(x-0.3307441862445684)*(x-0.3307441862445684)+246.56111577527352*(x-0.3307441862445684)*(x-0.3307441862445684)+0.0*(x-0.3307441862445684)+1.0416813170690324
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3898026098705395,0.4503201631328437,2974.982027301738*(x-0.3898026098705395)*(x-0.3898026098705395)*(x-0.3898026098705395)-270.05794993744587*(x-0.3898026098705395)*(x-0.3898026098705395)+0.0*(x-0.3898026098705395)+1.328341275384288
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4503201631328437,0.5101834427500552,-1623.7280488166177*(x-0.4503201631328437)*(x-0.4503201631328437)*(x-0.4503201631328437)+145.8025293129278*(x-0.4503201631328437)*(x-0.4503201631328437)+0.0*(x-0.4503201631328437)+0.9986568478409784
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5101834427500552,0.5807062508842112,137.96610128918562*(x-0.5101834427500552)*(x-0.5101834427500552)*(x-0.5101834427500552)-20.580066991058793*(x-0.5101834427500552)*(x-0.5101834427500552)+0.0*(x-0.5101834427500552)+1.1728234243811893
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5807062508842112,0.6709021465672823,129.9649015322225*(x-0.5807062508842112)*(x-0.5807062508842112)*(x-0.5807062508842112)-12.903532469279154*(x-0.5807062508842112)*(x-0.5807062508842112)-0.8442188965110056*(x-0.5807062508842112)+1.1188597709368118
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6709021465672823,0.7835250872482467,-75.53852334962016*(x-0.6709021465672823)*(x-0.6709021465672823)*(x-0.6709021465672823)+12.761055951497868*(x-0.6709021465672823)*(x-0.6709021465672823)+0.0*(x-0.6709021465672823)+1.0331050170842129
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.7835250872482467,0.9260575699013116,17.29307980655965*(x-0.7835250872482467)*(x-0.7835250872482467)*(x-0.7835250872482467)-7.630665736740489*(x-0.7835250872482467)*(x-0.7835250872482467)+0.0*(x-0.7835250872482467)+1.0870584501396805
