OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.0379780530929565
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.1449261621478534,1.1157376766204834
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1449261621478534,0.3199442158042754,-26.331511410022028*(x-0.14492616214785345)*(x-0.14492616214785345)*(x-0.14492616214785345)+13.82546963044177*(x-0.14492616214785345)*(x-0.14492616214785345)-2.4197067856058907*(x-0.14492616214785345)+1.1157376766204834
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3199442158042754,0.3597310976528091,-11193.265357406008*(x-0.31994421580427546)*(x-0.31994421580427546)*(x-0.31994421580427546)+668.017689411597*(x-0.31994421580427546)*(x-0.31994421580427546)+0.0*(x-0.31994421580427546)+0.97457355260849
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3597310976528091,0.4000318029664519,10937.618634427154*(x-0.35973109765280914)*(x-0.35973109765280914)*(x-0.35973109765280914)-661.1906181285858*(x-0.35973109765280914)*(x-0.35973109765280914)+0.0*(x-0.35973109765280914)+1.3270633220672607
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4000318029664519,0.440004382655064,-1.632822366454485*(x-0.40003180296645197)*(x-0.40003180296645197)*(x-0.40003180296645197)+0.8322016720607215*(x-0.40003180296645197)*(x-0.40003180296645197)+0.0*(x-0.40003180296645197)+0.9691064357757568
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.440004382655064,0.4905351830067241,-4131.2839186543015*(x-0.440004382655064)*(x-0.440004382655064)*(x-0.440004382655064)+312.5547539616354*(x-0.440004382655064)*(x-0.440004382655064)+0.058703689664332745*(x-0.440004382655064)+0.9703318476676941
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4905351830067241,0.560232440116532,928.8918661454554*(x-0.4905351830067241)*(x-0.4905351830067241)*(x-0.4905351830067241)-97.45101778354922*(x-0.4905351830067241)*(x-0.4905351830067241)+0.0*(x-0.4905351830067241)+1.2383311986923218
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.560232440116532,0.6412253683161107,-5.982632345681722*(x-0.560232440116532)*(x-0.560232440116532)*(x-0.560232440116532)+0.7806759185162184*(x-0.560232440116532)*(x-0.560232440116532)-0.04728191536821538*(x-0.560232440116532)+1.0794365406036377
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6412253683161107,0.8707949915603623,4.808289685987223*(x-0.6412253683161107)*(x-0.6412253683161107)*(x-0.6412253683161107)-2.6782887206208086*(x-0.6412253683161107)*(x-0.6412253683161107)-0.03855904981557693*(x-0.6412253683161107)+1.0775495767593384
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.8707949915603623,0.99,3.983063215415688*(x-0.8707949915603623)*(x-0.8707949915603623)*(x-0.8707949915603623)-1.6667588787976988*(x-0.8707949915603623)*(x-0.8707949915603623)-0.5080440089195026*(x-0.8707949915603623)+0.9857205152511597
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.99,1.1,0.9082216024398804
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.1150039434432983
