OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.0379626542738698
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.0587481559723252,1.0379626542738698
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0587481559723252,0.1987587709829078,15.397312954444217*(x-0.058748155972325265)*(x-0.058748155972325265)*(x-0.058748155972325265)-8.653870415565539*(x-0.058748155972325265)*(x-0.058748155972325265)+1.5177681394667157*(x-0.058748155972325265)+1.0379626542738698
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1987587709829078,0.2797056810063055,252.6807182419833*(x-0.19875877098290784)*(x-0.19875877098290784)*(x-0.19875877098290784)-30.680585046272*(x-0.19875877098290784)*(x-0.19875877098290784)+0.0*(x-0.19875877098290784)+1.1230845606475113
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2797056810063055,0.3593812735242745,-173.71190913400943*(x-0.27970568100630555)*(x-0.27970568100630555)*(x-0.27970568100630555)+20.760898931519684*(x-0.27970568100630555)*(x-0.27970568100630555)+0.0*(x-0.27970568100630555)+1.0560740492297198
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3593812735242745,0.4495408635250314,177.4241984068734*(x-0.3593812735242745)*(x-0.3593812735242745)*(x-0.3593812735242745)-23.994739476864975*(x-0.3593812735242745)*(x-0.3593812735242745)+0.0*(x-0.3593812735242745)+1.1000054957269358
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4495408635250314,0.5502928652155624,-232.0343649818929*(x-0.4495408635250314)*(x-0.4495408635250314)*(x-0.4495408635250314)+35.06689009937545*(x-0.4495408635250314)*(x-0.4495408635250314)+0.0*(x-0.4495408635250314)+1.0349897362028373
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5502928652155624,0.6513531158865694,218.30112985368856*(x-0.5502928652155624)*(x-0.5502928652155624)*(x-0.5502928652155624)-38.27520305666925*(x-0.5502928652155624)*(x-0.5502928652155624)+0.0*(x-0.5502928652155624)+1.153644004095108
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6513531158865694,0.7510052925567485,49.756219029562835*(x-0.6513531158865694)*(x-0.6513531158865694)*(x-0.6513531158865694)-2.1813874710079384*(x-0.6513531158865694)*(x-0.6513531158865694)-1.0475607860052607*(x-0.6513531158865694)+0.9880513125954017
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.7510052925567485,0.854066574182441,-54.48301094416251*(x-0.7510052925567485)*(x-0.7510052925567485)*(x-0.7510052925567485)+8.422633402098027*(x-0.7510052925567485)*(x-0.7510052925567485)+0.0*(x-0.7510052925567485)+0.9112360405402672
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.854066574182441,0.9689598608418888,4.008966764133666*(x-0.854066574182441)*(x-0.854066574182441)*(x-0.854066574182441)-4.242234383911973*(x-0.854066574182441)*(x-0.854066574182441)+0.0*(x-0.854066574182441)+0.9410567328212791
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.9689598608418888,1.1,0.8911374361769111
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.021594637013346
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.0618819423669149,1.021594637013346
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0618819423669149,0.2194571819318996,17.625987550583417*(x-0.061881942366914904)*(x-0.061881942366914904)*(x-0.061881942366914904)-8.332257632557859*(x-0.061881942366914904)*(x-0.061881942366914904)+1.3129574925674767*(x-0.061881942366914904)+1.021594637013346
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2194571819318996,0.2998026477058434,158.97198165825006*(x-0.2194571819318996)*(x-0.2194571819318996)*(x-0.2194571819318996)-24.143946788304326*(x-0.2194571819318996)*(x-0.2194571819318996)+0.0*(x-0.2194571819318996)+1.0905578341566666
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2998026477058434,0.3894462591141449,77.08664963060585*(x-0.2998026477058434)*(x-0.2998026477058434)*(x-0.2998026477058434)-5.897612759506035*(x-0.2998026477058434)*(x-0.2998026477058434)-0.801033032753975*(x-0.2998026477058434)+1.0171518147492704
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3894462591141449,0.4903986580360708,-158.39493806605768*(x-0.38944625911414493)*(x-0.38944625911414493)*(x-0.38944625911414493)+23.985523462287606*(x-0.38944625911414493)*(x-0.38944625911414493)+0.0*(x-0.38944625911414493)+0.9534824585131827
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4903986580360708,0.5902267855042298,4.959308723256121*(x-0.49039865803607086)*(x-0.49039865803607086)*(x-0.49039865803607086)-1.1604878882045282*(x-0.49039865803607086)*(x-0.49039865803607086)+0.0*(x-0.49039865803607086)+1.0349643746325667
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.5902267855042298,0.6913093827859232,-1.3150002511314474*(x-0.5902267855042298)*(x-0.5902267855042298)*(x-0.5902267855042298)-0.15263723193353268*(x-0.5902267855042298)*(x-0.5902267855042298)-0.08343038583163065*(x-0.5902267855042298)+1.0283331342471447
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.6913093827859232,0.7922108065988354,33.52113760822167*(x-0.6913093827859232)*(x-0.6913093827859232)*(x-0.6913093827859232)-4.307415785725759*(x-0.6913093827859232)*(x-0.6913093827859232)-0.15459712208286638*(x-0.6913093827859232)+1.0169820012605504
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.7922108065988354,0.8836030135594843,-37.710368886820056*(x-0.7922108065988354)*(x-0.7922108065988354)*(x-0.7922108065988354)+5.169650756800015*(x-0.7922108065988354)*(x-0.7922108065988354)+0.0*(x-0.7922108065988354)+0.991964548322068
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.8836030135594843,0.97902032757603,21.846115988772354*(x-0.8836030135594843)*(x-0.8836030135594843)*(x-0.8836030135594843)-8.068515756844912*(x-0.8836030135594843)*(x-0.8836030135594843)+0.0*(x-0.8836030135594843)+1.0063577787998348
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.97902032757603,1.1,0.9518765030232363
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,-15.0,0.0,1.0440721581381671
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0,0.0557005220032077,1.0440721581381671
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0557005220032077,0.1995031900049509,0.7378369650886458*(x-0.05570052200320775)*(x-0.05570052200320775)*(x-0.05570052200320775)-0.7180242201322888*(x-0.05570052200320775)*(x-0.05570052200320775)+0.0*(x-0.05570052200320775)+1.0440721581381671
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.1995031900049509,0.2893714578430094,116.64600582263907*(x-0.1995031900049509)*(x-0.1995031900049509)*(x-0.1995031900049509)-14.829886429085514*(x-0.1995031900049509)*(x-0.1995031900049509)-0.16073394637172225*(x-0.1995031900049509)+1.0314181107919096
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.2893714578430094,0.3893841400516965,-171.76489131079288*(x-0.28937145784300944)*(x-0.28937145784300944)*(x-0.28937145784300944)+25.76800123391401*(x-0.28937145784300944)*(x-0.28937145784300944)+0.0*(x-0.28937145784300944)+0.9818646251351513
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.3893841400516965,0.4900347634265614,109.73948517248348*(x-0.3893841400516965)*(x-0.3893841400516965)*(x-0.3893841400516965)-16.568021387170802*(x-0.3893841400516965)*(x-0.3893841400516965)+0.0*(x-0.3893841400516965)+1.0677797503076327
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.4900347634265614,0.5903807792760264,-177.63578259013346*(x-0.4900347634265614)*(x-0.4900347634265614)*(x-0.4900347634265614)+26.737564582832476*(x-0.4900347634265614)*(x-0.4900347634265614)+0.0*(x-0.4900347634265614)+1.0118320384104167
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.5903807792760264,0.691219044151194,199.42810379235124*(x-0.5903807792760264)*(x-0.5903807792760264)*(x-0.5903807792760264)-30.164975930648286*(x-0.5903807792760264)*(x-0.5903807792760264)+0.0*(x-0.5903807792760264)+1.1015750954971557
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.691219044151194,0.7922439970305075,-3.275834261750969*(x-0.691219044151194)*(x-0.691219044151194)*(x-0.691219044151194)+0.49641150290074887*(x-0.691219044151194)*(x-0.691219044151194)+0.0*(x-0.691219044151194)+0.999332360887254
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.7922439970305075,0.88359106424656,49.649785157733795*(x-0.7922439970305075)*(x-0.7922439970305075)*(x-0.7922439970305075)-7.857134599990376*(x-0.7922439970305075)*(x-0.7922439970305075)+0.0*(x-0.7922439970305075)+1.001021159621666
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.88359106424656,0.98031660756058,3.3812837974084613*(x-0.88359106424656)*(x-0.88359106424656)*(x-0.88359106424656)+0.21316343990296718*(x-0.88359106424656)*(x-0.88359106424656)-0.19257628065549273*(x-0.88359106424656)+0.9733033389185222
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.98031660756058,1.1,0.9597304999731436
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,-15.0,0.0,1.1069220207313208
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.0,0.060983255375989,1.1069220207313208
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.060983255375989,0.2193765197992294,-0.047729256737761634*(x-0.06098325537598907)*(x-0.06098325537598907)*(x-0.06098325537598907)+0.06697404552530441*(x-0.06098325537598907)*(x-0.06098325537598907)-0.3621590774353491*(x-0.06098325537598907)+1.1069220207313208
