OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.0488215684890747
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.128559708912464,1.2751915454864502
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.128559708912464,0.3100000000000003,-56.96830735064346*(x-0.128559708912464)*(x-0.128559708912464)*(x-0.128559708912464)+31.009038805394948*(x-0.128559708912464)*(x-0.128559708912464)-5.6262890271955674*(x-0.128559708912464)+1.2751915454864502
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3100000000000003,0.3299999999999998,-65559.9832534832*(x-0.3100000000000003)*(x-0.3100000000000003)*(x-0.3100000000000003)+1966.799497604454*(x-0.3100000000000003)*(x-0.3100000000000003)+0.0*(x-0.3100000000000003)+0.9349130392074585
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3299999999999998,0.3499999999999998,98983.88385772677*(x-0.32999999999999985)*(x-0.32999999999999985)*(x-0.32999999999999985)-2969.516515731806*(x-0.32999999999999985)*(x-0.32999999999999985)+0.0*(x-0.32999999999999985)+1.1971529722213745
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3499999999999998,0.3699999999999999,-86383.96859168985*(x-0.34999999999999987)*(x-0.34999999999999987)*(x-0.34999999999999987)+2591.5190577506974*(x-0.34999999999999987)*(x-0.34999999999999987)+0.0*(x-0.34999999999999987)+0.8012174367904663
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3699999999999999,0.4004094701517977,2866.8498447794664*(x-0.3699999999999999)*(x-0.3699999999999999)*(x-0.3699999999999999)-130.76907717676121*(x-0.3699999999999999)*(x-0.3699999999999999)+0.0*(x-0.3699999999999999)+1.1467533111572266
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4004094701517977,0.4396040241889474,-2223.1134338119477*(x-0.40040947015179773)*(x-0.40040947015179773)*(x-0.40040947015179773)+130.7009094183838*(x-0.40040947015179773)*(x-0.40040947015179773)+0.0*(x-0.40040947015179773)+1.1064443588256836
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4396040241889474,0.5702530778541689,87.01710725481203*(x-0.43960402418894745)*(x-0.43960402418894745)*(x-0.43960402418894745)-18.65687671675673*(x-0.43960402418894745)*(x-0.43960402418894745)+0.0*(x-0.43960402418894745)+1.173372507095337
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5702530778541689,0.868093053206975,-3.9585908650465065*(x-0.5702530778541689)*(x-0.5702530778541689)*(x-0.5702530778541689)+1.7714804534650308*(x-0.5702530778541689)*(x-0.5702530778541689)-0.41907582123172055*(x-0.5702530778541689)+1.0489693880081177
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.868093053206975,0.99,20.312123870956945*(x-0.868093053206975)*(x-0.868093053206975)*(x-0.868093053206975)-6.552463612160145*(x-0.868093053206975)*(x-0.868093053206975)-0.4173241975614001*(x-0.868093053206975)+0.9767076373100281
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.99,1.1,0.8652541637420654
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.1513270139694214
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.1277116883840047,1.2497433423995972
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.1277116883840047,0.3100000000000003,2.4810661587669727*(x-0.12771168838400473)*(x-0.12771168838400473)*(x-0.12771168838400473)-1.7161659424196938*(x-0.12771168838400473)*(x-0.12771168838400473)-0.7542539342330749*(x-0.12771168838400473)+1.2497433423995972
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3100000000000003,0.3299999999999998,3370.10090862718*(x-0.3100000000000003)*(x-0.3100000000000003)*(x-0.3100000000000003)-72.78808566530265*(x-0.3100000000000003)*(x-0.3100000000000003)-1.1325976637404003*(x-0.3100000000000003)+1.070253610610962
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3299999999999998,0.3600594359027252,-2850.27802287772*(x-0.32999999999999985)*(x-0.32999999999999985)*(x-0.32999999999999985)+154.17063903792808*(x-0.32999999999999985)*(x-0.32999999999999985)+0.0*(x-0.32999999999999985)+1.0454472303390503
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3600594359027252,0.4001398179769742,-544.7502479667792*(x-0.36005943590272527)*(x-0.36005943590272527)*(x-0.36005943590272527)+13.510730529668692*(x-0.36005943590272527)*(x-0.36005943590272527)+1.5422904232970118*(x-0.36005943590272527)+1.1073353290557861
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4001398179769742,0.4401852779111676,3078.1313807788533*(x-0.4001398179769742)*(x-0.4001398179769742)*(x-0.4001398179769742)-184.8977803217447*(x-0.4001398179769742)*(x-0.4001398179769742)+0.0*(x-0.4001398179769742)+1.1557804346084595
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4401852779111676,0.4800517638089268,-575.1892889191089*(x-0.4401852779111676)*(x-0.4401852779111676)*(x-0.4401852779111676)+35.18047932083238*(x-0.4401852779111676)*(x-0.4401852779111676)+0.0*(x-0.4401852779111676)+1.0569440126419067
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4800517638089268,0.5919219769665965,0.4534760770531727*(x-0.4800517638089268)*(x-0.4800517638089268)*(x-0.4800517638089268)-0.35559740115310645*(x-0.4800517638089268)*(x-0.4800517638089268)+0.06253583019634716*(x-0.4800517638089268)+1.0764129161834717
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.5919219769665965,0.8751171737261828,1.2848720457849634*(x-0.5919219769665965)*(x-0.5919219769665965)*(x-0.5919219769665965)-1.172062879798371*(x-0.5919219769665965)*(x-0.5919219769665965)+0.0*(x-0.5919219769665965)+1.0795934200286865
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.8751171737261828,0.99,10.753370574757946*(x-0.8751171737261828)*(x-0.8751171737261828)*(x-0.8751171737261828)-3.4162303079060683*(x-0.8751171737261828)*(x-0.8751171737261828)-0.3547067937699069*(x-0.8751171737261828)+1.0147767066955566
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.99,1.1,0.9452439546585083
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,-15.0,0.0,0.9514341354370117
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0,0.1278940379858426,1.2776679992675781
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.1278940379858426,0.3399267647802543,0.595576412102595*(x-0.12789403798584265)*(x-0.12789403798584265)*(x-0.12789403798584265)-0.5920151691778485*(x-0.12789403798584265)*(x-0.12789403798584265)-0.46000996779499037*(x-0.12789403798584265)+1.2776679992675781
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.3399267647802543,0.4300018475068649,78.42538918730945*(x-0.33992676478025435)*(x-0.33992676478025435)*(x-0.33992676478025435)-7.827168364263951*(x-0.33992676478025435)*(x-0.33992676478025435)-0.6307355953913341*(x-0.33992676478025435)+1.159192442893982
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.4300018475068649,0.54119519700176,-8.719232553728354*(x-0.4300018475068649)*(x-0.4300018475068649)*(x-0.4300018475068649)+1.5214205997295283*(x-0.4300018475068649)*(x-0.4300018475068649)-0.13188325593242584*(x-0.4300018475068649)+1.0961883068084717
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.54119519700176,0.7061139334645021,30.08326133998008*(x-0.54119519700176)*(x-0.54119519700176)*(x-0.54119519700176)-7.08736462145912*(x-0.54119519700176)*(x-0.54119519700176)-0.1169523039810013*(x-0.54119519700176)+1.0883474349975586
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.7061139334645021,0.8425118485488344,-31.971820247191328*(x-0.7061139334645021)*(x-0.7061139334645021)*(x-0.7061139334645021)+6.541334434751908*(x-0.7061139334645021)*(x-0.7061139334645021)+0.0*(x-0.7061139334645021)+1.0112345218658447
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.8425118485488344,0.9008413667868296,518.2916293175333*(x-0.8425118485488344)*(x-0.8425118485488344)*(x-0.8425118485488344)-45.34755156731601*(x-0.8425118485488344)*(x-0.8425118485488344)+0.0*(x-0.8425118485488344)+1.0518003702163696
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.9008413667868296,0.9413057757283956,-52.33013445492427*(x-0.9008413667868297)*(x-0.9008413667868297)*(x-0.9008413667868297)+7.365322464667439*(x-0.9008413667868297)*(x-0.9008413667868297)+0.0*(x-0.9008413667868297)+1.0003712177276611
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.9413057757283956,0.97,-1349.556052339892*(x-0.9413057757283957)*(x-0.9413057757283957)*(x-0.9413057757283957)+52.1793100712037*(x-0.9413057757283957)*(x-0.9413057757283957)+0.33901571623531795*(x-0.9413057757283957)+1.0089638233184814
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.97,0.99,4749.8863793618275*(x-0.97)*(x-0.97)*(x-0.97)-281.4789053940906*(x-0.97)*(x-0.97)+0.0*(x-0.97)+1.029769778251648
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.99,1.1,0.9551773071289062
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,-15.0,0.0,1.0662919282913208
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.0,0.1310489140563818,1.3003157377243042
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.1310489140563818,0.3603511462140438,2.0638139582111257*(x-0.13104891405638186)*(x-0.13104891405638186)*(x-0.13104891405638186)+1.137685391889551*(x-0.13104891405638186)*(x-0.13104891405638186)-1.153312852229089*(x-0.13104891405638186)+1.3003157377243042
