OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.1923923216752597
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.0667986896727422,1.1923923216752597
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0667986896727422,0.2096261323382277,43.8087829546637*(x-0.06679868967274222)*(x-0.06679868967274222)*(x-0.06679868967274222)-20.488376163645206*(x-0.06679868967274222)*(x-0.06679868967274222)+3.1715494963759796*(x-0.06679868967274222)+1.1923923216752597
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2096261323382277,0.2802135741617936,517.5244133373982*(x-0.20962613233822774)*(x-0.20962613233822774)*(x-0.20962613233822774)-63.422685130924165*(x-0.20962613233822774)*(x-0.20962613233822774)+0.0*(x-0.20962613233822774)+1.3550630961670953
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2802135741617936,0.3600894491105406,-34.2498535236249*(x-0.28021357416179365)*(x-0.28021357416179365)*(x-0.28021357416179365)+6.881760459406421*(x-0.28021357416179365)*(x-0.28021357416179365)-1.2178590399077105*(x-0.28021357416179365)+1.2210715638455891
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3600894491105406,0.4503232870099806,-38.126734809502246*(x-0.3600894491105406)*(x-0.3600894491105406)*(x-0.3600894491105406)+4.4426595905527995*(x-0.3600894491105406)*(x-0.3600894491105406)-0.7740439277456096*(x-0.3600894491105406)+1.1502462813180352
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4503232870099806,0.5504845011380028,180.07962653288365*(x-0.4503232870099806)*(x-0.4503232870099806)*(x-0.4503232870099806)-22.544824161745915*(x-0.4503232870099806)*(x-0.4503232870099806)-0.9035877440854877*(x-0.4503232870099806)+1.0885625087074342
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5504845011380028,0.6513310950282929,-46.40135590152156*(x-0.5504845011380028)*(x-0.5504845011380028)*(x-0.5504845011380028)+7.019128041839338*(x-0.5504845011380028)*(x-0.5504845011380028)+0.0*(x-0.5504845011380028)+0.952834299564546
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6513310950282929,0.7519465409966765,73.32453017176375*(x-0.6513310950282929)*(x-0.6513310950282929)*(x-0.6513310950282929)-11.541015279643*(x-0.6513310950282929)*(x-0.6513310950282929)+0.0*(x-0.6513310950282929)+0.9766292266843624
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.7519465409966765,0.8521819729173467,-8.688744968505803*(x-0.7519465409966765)*(x-0.7519465409966765)*(x-0.7519465409966765)+1.285763780251474*(x-0.7519465409966765)*(x-0.7519465409966765)-0.09551320131922707*(x-0.7519465409966765)+0.9344808260705175
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.8521819729173467,0.9708480773432508,26.33951755558885*(x-0.8521819729173467)*(x-0.8521819729173467)*(x-0.8521819729173467)-10.407617746546217*(x-0.8521819729173467)*(x-0.8521819729173467)-0.09964618420537193*(x-0.8521819729173467)+0.9290750123196995
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.9708480773432508,1.1,0.8147077156567122
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.2722974566093326
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.0798689041455645,1.2722974566093326
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0798689041455645,0.2497255382635228,8.046737692139034*(x-0.07986890414556459)*(x-0.07986890414556459)*(x-0.07986890414556459)+2.5351785666869113*(x-0.07986890414556459)*(x-0.07986890414556459)-1.6611179638490527*(x-0.07986890414556459)+1.2722974566093326
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2497255382635228,0.3199361915848384,-18.595005090413313*(x-0.24972553826352287)*(x-0.24972553826352287)*(x-0.24972553826352287)+1.9009363068092104*(x-0.24972553826352287)*(x-0.24972553826352287)-0.10340821351693377*(x-0.24972553826352287)+1.1027223744140648
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3199361915848384,0.3997007718461923,159.4743877286366*(x-0.31993619158483844)*(x-0.31993619158483844)*(x-0.31993619158483844)-20.31001736228352*(x-0.31993619158483844)*(x-0.31993619158483844)-0.11147048557406698*(x-0.31993619158483844)+1.098396908272657
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3997007718461923,0.4803261329017186,-24.155952727787106*(x-0.3997007718461923)*(x-0.3997007718461923)*(x-0.3997007718461923)+3.33725696200369*(x-0.3997007718461923)*(x-0.3997007718461923)-0.3075965867718299*(x-0.3997007718461923)+1.0412174676948966
