OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,incl,central,0,0.0,2.5,20,1000,0,1,0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x 
L,incl,down,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.100013+-7.96026e-06*x+2.92325e-09*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.0356051+1.87843e-05*x+-3.03118e-08*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.0908603)) 
L,incl,up,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.100013+-7.96026e-06*x+2.92325e-09*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.0356051+1.87843e-05*x+-3.03118e-08*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.0908603)) 
M,incl,central,0,0.0,2.5,20,1000,0,1,0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x 
M,incl,down,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.157113+8.03871e-05*x+-9.43901e-08*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.0918283+0.000126264*x+-1.50781e-07*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.128036)) 
M,incl,up,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1+(0.157113+8.03871e-05*x+-9.43901e-08*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1+(0.0918283+0.000126264*x+-1.50781e-07*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1+(0.128036)) 
T,incl,central,0,0.0,2.5,20,1000,0,1,"1.17135+321.802/(pow(x,1.5))+-70.4986/x "
T,incl,down,0,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1-(0.194997+0.000198635*x+-1.87175e-07*x*x)) "
T,incl,down_correlated,0,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1-(0.15611+0.000239285*x+-2.36897e-07*x*x)) "
T,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1-(0.12207)) "
T,incl,up,0,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1+(0.194997+0.000198635*x+-1.87175e-07*x*x)) "
T,incl,up_correlated,0,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1+(0.15611+0.000239285*x+-2.36897e-07*x*x)) "
T,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,"(1.17135+321.802/(pow(x,1.5))+-70.4986/x)*(1+(0.12207)) "
L,mujets,central,4,0.0,2.5,20,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18)) 
L,mujets,central,5,0.0,2.5,20,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18)) 
L,mujets,down_jes,4,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0096629112958908081 
L,mujets,down_jes,4,0.0,2.5,30,50,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))- -0.00056131917517632246 
L,mujets,down_jes,4,0.0,2.5,50,70,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.00093337078578770161 
L,mujets,down_jes,4,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))- -0.0011926204897463322 
L,mujets,down_jes,4,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.002196598332375288 
L,mujets,down_jes,4,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))- -0.00030185363721102476 
L,mujets,down_jes,4,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.00036412320332601666 
L,mujets,down_jes,4,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0016678475076332688 
L,mujets,down_jes,4,0.0,2.5,600,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.01168722752481699 
L,mujets,down_jes,5,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0038651647046208382 
L,mujets,down_jes,5,0.0,2.5,30,50,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))- -0.00022452767007052898 
L,mujets,down_jes,5,0.0,2.5,50,70,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.00037334830267354846 
L,mujets,down_jes,5,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))- -0.00047704819007776678 
L,mujets,down_jes,5,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.00087863934459164739 
L,mujets,down_jes,5,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))- -0.000120741460705176 
L,mujets,down_jes,5,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.00014564927550964057 
L,mujets,down_jes,5,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.00066713901469483972 
L,mujets,down_jes,5,0.0,2.5,600,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.004674891009926796 
L,mujets,down_pileup,4,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.010059523396193981 
