OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,incl,central,0,0.0,2.5,20,1000,0,1,1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x 
L,incl,down,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0490522+6.44195e-05*x+-9.47618e-08*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0454285+6.90715e-05*x+-1.01414e-07*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0182876)) 
L,incl,up,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0490522+6.44195e-05*x+-9.47618e-08*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0454285+6.90715e-05*x+-1.01414e-07*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0182876)) 
M,incl,central,0,0.0,2.5,20,1000,0,1,1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x 
M,incl,down,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.118505+0.000202743*x+-2.64228e-07*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.110898+0.000211159*x+-2.76621e-07*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.0435201)) 
M,incl,up,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.118505+0.000202743*x+-2.64228e-07*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.110898+0.000211159*x+-2.76621e-07*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.0435201)) 
T,incl,central,0,0.0,2.5,20,1000,0,1,"1.41865+92.0563/(pow(x,1.5))+-9.85825/x "
T,incl,down,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1-(0.213944+0.000187249*x+-2.3611e-07*x*x)) "
T,incl,down_correlated,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1-(0.196719+0.000197379*x+-2.54895e-07*x*x)) "
T,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1-(0.0888358)) "
T,incl,up,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1+(0.213944+0.000187249*x+-2.3611e-07*x*x)) "
T,incl,up_correlated,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1+(0.196719+0.000197379*x+-2.54895e-07*x*x)) "
T,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1+(0.0888358)) "
L,comb,central,4,0.0,2.5,20,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x) 
L,comb,central,5,0.0,2.5,20,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x) 
L,comb,down_fsr,4,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00032174494117498398 
