{ 2 JetEta JetPt 0 None ScaleFactor }
-5.191 -3.139 0 7000 3 1.0760 1.0 1.2252
-3.139 -2.964 0 7000 3 1.2063 1.1245 1.2880
-2.964 -2.853 0 15 3 1.07471 1 1.27471
-2.964 -2.853 15 20 3 1.08747 1 1.28747
-2.964 -2.853 20 25 3 1.10422 1 1.30422
-2.964 -2.853 25 30 3 1.12464 1 1.32464
-2.964 -2.853 30 35 3 1.14835 1 1.34835
-2.964 -2.853 35 40 3 1.17496 1 1.37496
-2.964 -2.853 40 45 3 1.20405 1.00405 1.40405
-2.964 -2.853 45 50 3 1.23524 1.03524 1.43524
-2.964 -2.853 50 55 3 1.26812 1.06812 1.46812
-2.964 -2.853 55 60 3 1.30233 1.10233 1.50233
-2.964 -2.853 60 65 3 1.33754 1.13754 1.53754
-2.964 -2.853 65 70 3 1.37344 1.17344 1.57344
-2.964 -2.853 70 75 3 1.40975 1.20975 1.60975
-2.964 -2.853 75 80 3 1.44625 1.24625 1.64625
-2.964 -2.853 80 85 3 1.4827 1.2827 1.6827
-2.964 -2.853 85 90 3 1.51894 1.31894 1.71894
-2.964 -2.853 90 95 3 1.55481 1.35481 1.75481
-2.964 -2.853 95 100 3 1.59017 1.39017 1.79017
-2.964 -2.853 100 105 3 1.62493 1.42493 1.82493
-2.964 -2.853 105 120 3 1.69226 1.49226 1.89226
-2.964 -2.853 120 135 3 1.78698 1.58698 1.98698
-2.964 -2.853 135 150 3 1.87348 1.67348 2.07348
-2.964 -2.853 150 165 3 1.95162 1.75162 2.15162
-2.964 -2.853 165 180 3 2.02171 1.82171 2.22171
-2.964 -2.853 180 195 3 2.0843 1.8843 2.2843
-2.964 -2.853 195 210 3 2.14004 1.94004 2.34004
-2.964 -2.853 210 225 3 2.18963 1.98963 2.38963
-2.964 -2.853 225 240 3 2.23374 2.03374 2.43374
-2.964 -2.853 240 255 3 2.27301 2.07301 2.47301
-2.964 -2.853 255 270 3 2.30801 2.10801 2.50801
-2.964 -2.853 270 285 3 2.33926 2.13926 2.53926
-2.964 -2.853 285 300 3 2.36721 2.16721 2.56721
-2.964 -2.853 300 315 3 2.39226 2.19226 2.59226
-2.964 -2.853 315 330 3 2.41478 2.21478 2.61478
-2.964 -2.853 330 345 3 2.43505 2.23505 2.63505
-2.964 -2.853 345 360 3 2.45334 2.25334 2.65334
-2.964 -2.853 360 375 3 2.4699 2.2699 2.6699
-2.964 -2.853 375 390 3 2.48491 2.28491 2.68491
-2.964 -2.853 390 405 3 2.49856 2.29856 2.69856
-2.964 -2.853 405 420 3 2.511 2.311 2.711
-2.964 -2.853 420 435 3 2.52235 2.32235 2.72235
-2.964 -2.853 435 450 3 2.53274 2.33274 2.73274
-2.964 -2.853 450 465 3 2.54226 2.34226 2.74226
-2.964 -2.853 465 480 3 2.55101 2.35101 2.75101
-2.964 -2.853 480 495 3 2.55907 2.35907 2.75907
-2.964 -2.853 495 7000 3 2.5665 2.3665 2.7665
-2.853 -2.65 0 15 3 1.01987 1 1.21987
-2.853 -2.65 15 20 3 1.03412 1 1.23412
-2.853 -2.65 20 25 3 1.05279 1 1.25279
-2.853 -2.65 25 30 3 1.07548 1 1.27548
-2.853 -2.65 30 35 3 1.10175 1 1.30175
-2.853 -2.65 35 40 3 1.13113 1 1.33113
-2.853 -2.65 40 45 3 1.16315 1 1.36315
-2.853 -2.65 45 50 3 1.19734 1 1.39734
-2.853 -2.65 50 55 3 1.23328 1.03328 1.43328
-2.853 -2.65 55 60 3 1.27055 1.07055 1.47055
-2.853 -2.65 60 65 3 1.30879 1.10879 1.50879
-2.853 -2.65 65 70 3 1.34766 1.14766 1.54766
-2.853 -2.65 70 75 3 1.38689 1.18689 1.58689
-2.853 -2.65 75 80 3 1.4262 1.2262 1.6262
-2.853 -2.65 80 85 3 1.46539 1.26539 1.66539
-2.853 -2.65 85 90 3 1.50426 1.30426 1.70426
-2.853 -2.65 90 95 3 1.54266 1.34266 1.74266
-2.853 -2.65 95 100 3 1.58045 1.38045 1.78045
-2.853 -2.65 100 105 3 1.61752 1.41752 1.81752
-2.853 -2.65 105 120 3 1.6892 1.4892 1.8892
-2.853 -2.65 120 135 3 1.78972 1.58972 1.98972
-2.853 -2.65 135 150 3 1.88125 1.68125 2.08125
-2.853 -2.65 150 165 3 1.96374 1.76374 2.16374
-2.853 -2.65 165 180 3 2.0376 1.8376 2.2376
-2.853 -2.65 180 195 3 2.10345 1.90345 2.30345
-2.853 -2.65 195 210 3 2.16203 1.96203 2.36203
-2.853 -2.65 210 225 3 2.2141 2.0141 2.4141
-2.853 -2.65 225 240 3 2.26037 2.06037 2.46037
-2.853 -2.65 240 255 3 2.30154 2.10154 2.50154
-2.853 -2.65 255 270 3 2.33821 2.13821 2.53821
-2.853 -2.65 270 285 3 2.37093 2.17093 2.57093
-2.853 -2.65 285 300 3 2.40019 2.20019 2.60019
-2.853 -2.65 300 315 3 2.42641 2.22641 2.62641
-2.853 -2.65 315 330 3 2.44996 2.24996 2.64996
-2.853 -2.65 330 345 3 2.47116 2.27116 2.67116
-2.853 -2.65 345 360 3 2.49029 2.29029 2.69029
-2.853 -2.65 360 375 3 2.50759 2.30759 2.70759
-2.853 -2.65 375 390 3 2.52329 2.32329 2.72329
-2.853 -2.65 390 405 3 2.53755 2.33755 2.73755
-2.853 -2.65 405 420 3 2.55054 2.35054 2.75054
-2.853 -2.65 420 435 3 2.5624 2.3624 2.7624
-2.853 -2.65 435 450 3 2.57325 2.37325 2.77325
-2.853 -2.65 450 465 3 2.5832 2.3832 2.7832
-2.853 -2.65 465 480 3 2.59234 2.39234 2.79234
-2.853 -2.65 480 495 3 2.60075 2.40075 2.80075
-2.853 -2.65 495 7000 3 2.60851 2.40851 2.80851
-2.65 -2.5 0 15 3 1.15829 1 1.35829
-2.65 -2.5 15 20 3 1.16072 1 1.36072
-2.65 -2.5 20 25 3 1.16398 1 1.36398
-2.65 -2.5 25 30 3 1.16805 1 1.36805
-2.65 -2.5 30 35 3 1.17291 1 1.37291
-2.65 -2.5 35 40 3 1.17854 1 1.37854
-2.65 -2.5 40 45 3 1.18491 1 1.38491
-2.65 -2.5 45 50 3 1.19201 1 1.39201
-2.65 -2.5 50 55 3 1.19979 1 1.39979
-2.65 -2.5 55 60 3 1.20823 1.00823 1.40823
-2.65 -2.5 60 65 3 1.21731 1.01731 1.41731
-2.65 -2.5 65 70 3 1.22697 1.02697 1.42697
-2.65 -2.5 70 75 3 1.23719 1.03719 1.43719
-2.65 -2.5 75 80 3 1.24794 1.04794 1.44794
-2.65 -2.5 80 85 3 1.25917 1.05917 1.45917
-2.65 -2.5 85 90 3 1.27086 1.07086 1.47086
-2.65 -2.5 90 95 3 1.28296 1.08296 1.48296
-2.65 -2.5 95 100 3 1.29544 1.09544 1.49544
-2.65 -2.5 100 105 3 1.30827 1.10827 1.50827
-2.65 -2.5 105 120 3 1.33483 1.13483 1.53483
-2.65 -2.5 120 135 3 1.37645 1.17645 1.57645
-2.65 -2.5 135 150 3 1.41949 1.21949 1.61949
-2.65 -2.5 150 165 3 1.46324 1.26324 1.66324
-2.65 -2.5 165 180 3 1.50712 1.30712 1.70712
-2.65 -2.5 180 195 3 1.55063 1.35063 1.75063
-2.65 -2.5 195 210 3 1.59339 1.39339 1.79339
-2.65 -2.5 210 225 3 1.63507 1.43507 1.83507
-2.65 -2.5 225 240 3 1.67546 1.47546 1.87546
-2.65 -2.5 240 255 3 1.71439 1.51439 1.91439
-2.65 -2.5 255 270 3 1.75176 1.55176 1.95176
-2.65 -2.5 270 285 3 1.78749 1.58749 1.98749
