#Data tag : 19v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
317626:6770,400:400,06/08/18 23:05:22,STABLE BEAMS,6500,370680.225,362194.237,44.5,HFOC
317626:6770,401:401,06/08/18 23:05:46,STABLE BEAMS,6500,370486.560,362070.799,44.5,HFOC
317626:6770,402:402,06/08/18 23:06:09,STABLE BEAMS,6500,370160.176,361749.784,44.4,HFOC
317626:6770,403:403,06/08/18 23:06:32,STABLE BEAMS,6500,369935.469,361487.188,44.4,HFOC
317626:6770,404:404,06/08/18 23:06:55,STABLE BEAMS,6500,369525.180,361124.140,44.3,HFOC
317626:6770,405:405,06/08/18 23:07:19,STABLE BEAMS,6500,370649.274,362182.809,44.5,HFOC
317626:6770,406:406,06/08/18 23:07:42,STABLE BEAMS,6500,370184.688,361771.750,44.4,HFOC
317626:6770,407:407,06/08/18 23:08:05,STABLE BEAMS,6500,369818.246,361359.674,44.4,HFOC
317626:6770,408:408,06/08/18 23:08:29,STABLE BEAMS,6500,369506.008,360573.306,44.3,HFOC
317626:6770,409:409,06/08/18 23:08:52,STABLE BEAMS,6500,369147.268,360734.533,44.3,HFOC
317626:6770,410:410,06/08/18 23:09:15,STABLE BEAMS,6500,369053.261,360540.038,44.3,HFOC
317626:6770,411:411,06/08/18 23:09:39,STABLE BEAMS,6500,368831.899,360485.955,44.3,HFOC
317626:6770,412:412,06/08/18 23:10:02,STABLE BEAMS,6500,368685.673,360363.650,44.2,HFOC
317626:6770,413:413,06/08/18 23:10:25,STABLE BEAMS,6500,368320.724,359459.227,44.2,HFOC
317626:6770,414:414,06/08/18 23:10:49,STABLE BEAMS,6500,368274.493,359939.384,44.2,HFOC
317626:6770,415:415,06/08/18 23:11:12,STABLE BEAMS,6500,368047.541,359730.626,44.2,HFOC
317626:6770,416:416,06/08/18 23:11:35,STABLE BEAMS,6500,367853.289,359565.866,44.1,HFOC
317626:6770,417:417,06/08/18 23:11:59,STABLE BEAMS,6500,367653.347,359350.600,44.1,HFOC
317626:6770,418:418,06/08/18 23:12:22,STABLE BEAMS,6500,366752.229,358475.661,44.0,HFOC
317626:6770,419:419,06/08/18 23:12:45,STABLE BEAMS,6500,367698.255,359370.238,44.1,HFOC
317626:6770,420:420,06/08/18 23:13:08,STABLE BEAMS,6500,367349.637,358996.466,44.1,HFOC
317626:6770,421:421,06/08/18 23:13:32,STABLE BEAMS,6500,366578.187,358358.101,44.0,HFOC
317626:6770,422:422,06/08/18 23:13:55,STABLE BEAMS,6500,366480.363,358248.680,44.0,HFOC
317626:6770,423:423,06/08/18 23:14:18,STABLE BEAMS,6500,366369.273,353024.356,44.0,HFOC
317626:6770,424:424,06/08/18 23:14:42,STABLE BEAMS,6500,365964.505,352211.442,43.9,HFOC
317626:6770,425:425,06/08/18 23:15:05,STABLE BEAMS,6500,365672.375,357517.968,43.9,HFOC
317626:6770,426:426,06/08/18 23:15:28,STABLE BEAMS,6500,365350.174,357091.262,43.8,HFOC
317626:6770,427:427,06/08/18 23:15:52,STABLE BEAMS,6500,365056.621,279467.677,43.8,HFOC
317626:6770,428:428,06/08/18 23:16:15,STABLE BEAMS,6500,364996.044,52501.036,43.8,HFOC
317626:6770,429:429,06/08/18 23:16:38,STABLE BEAMS,6500,364778.374,356666.050,43.8,HFOC
317626:6770,430:430,06/08/18 23:17:02,STABLE BEAMS,6500,364397.077,356320.705,43.7,HFOC
317626:6770,431:431,06/08/18 23:17:25,STABLE BEAMS,6500,364140.684,356046.999,43.7,HFOC
317626:6770,432:432,06/08/18 23:17:48,STABLE BEAMS,6500,363820.514,355726.118,43.7,HFOC
317626:6770,433:433,06/08/18 23:18:11,STABLE BEAMS,6500,363647.553,355573.921,43.6,HFOC
317626:6770,434:434,06/08/18 23:18:35,STABLE BEAMS,6500,363394.134,355307.119,43.6,HFOC
317626:6770,435:435,06/08/18 23:18:58,STABLE BEAMS,6500,363127.285,354902.907,43.6,HFOC
317626:6770,436:436,06/08/18 23:19:21,STABLE BEAMS,6500,362906.574,354864.554,43.6,HFOC
317626:6770,437:437,06/08/18 23:19:45,STABLE BEAMS,6500,362706.371,354675.710,43.5,HFOC
317626:6770,438:438,06/08/18 23:20:08,STABLE BEAMS,6500,361757.315,353720.530,43.4,HFOC
317626:6770,439:439,06/08/18 23:20:31,STABLE BEAMS,6500,362277.814,349195.324,43.5,HFOC
317626:6770,440:440,06/08/18 23:20:55,STABLE BEAMS,6500,362009.946,353977.841,43.4,HFOC
317626:6770,441:441,06/08/18 23:21:18,STABLE BEAMS,6500,361813.743,353807.229,43.4,HFOC
317626:6770,442:442,06/08/18 23:21:41,STABLE BEAMS,6500,361300.802,353298.226,43.4,HFOC
317626:6770,443:443,06/08/18 23:22:05,STABLE BEAMS,6500,361633.993,353632.806,43.4,HFOC
317626:6770,444:444,06/08/18 23:22:28,STABLE BEAMS,6500,362106.606,354114.799,43.5,HFOC
317626:6770,445:445,06/08/18 23:22:51,STABLE BEAMS,6500,361857.504,353863.888,43.4,HFOC
317626:6770,446:446,06/08/18 23:23:15,STABLE BEAMS,6500,361573.431,353556.998,43.4,HFOC
317626:6770,447:447,06/08/18 23:23:38,STABLE BEAMS,6500,361387.798,353347.891,43.4,HFOC
317626:6770,448:448,06/08/18 23:24:01,STABLE BEAMS,6500,361253.018,353274.046,43.4,HFOC
317626:6770,449:449,06/08/18 23:24:25,STABLE BEAMS,6500,361058.239,347986.910,43.3,HFOC
317626:6770,450:450,06/08/18 23:24:48,STABLE BEAMS,6500,360858.942,352882.922,43.3,HFOC
317626:6770,451:451,06/08/18 23:25:11,STABLE BEAMS,6500,360690.513,352718.729,43.3,HFOC
317626:6770,452:452,06/08/18 23:25:34,STABLE BEAMS,6500,360555.722,352599.818,43.3,HFOC
