CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, incl, central, 2, 0, 0.3, 20, 1000, 0, 1, "((1.11896+(0.000895657*x))+(-8.14831e-07*(x*x)))+(-1.49082e-10*(x*(x*x)))" 
0, incl, down, 2, 0, 0.3, 20, 1000, 0, 1, "((1.05568+(0.000795484*x))+(-3.82094e-07*(x*x)))+(-4.97076e-10*(x*(x*x)))" 
0, incl, up, 2, 0, 0.3, 20, 1000, 0, 1, "((1.18221+(0.000995816*x))+(-1.2494e-06*(x*x)))+(2.00363e-10*(x*(x*x)))" 
0, incl, central, 2, 0.3, 0.6, 20, 1000, 0, 1, "((1.02806+(0.00126554*x))+(-2.24145e-06*(x*x)))+(1.13827e-09*(x*(x*x)))" 
0, incl, down, 2, 0.3, 0.6, 20, 1000, 0, 1, "((0.976727+(0.00109709*x))+(-1.65709e-06*(x*x)))+(6.84668e-10*(x*(x*x)))" 
0, incl, up, 2, 0.3, 0.6, 20, 1000, 0, 1, "((1.07942+(0.00143252*x))+(-2.8232e-06*(x*x)))+(1.59124e-09*(x*(x*x)))" 
0, incl, central, 2, 0.6, 0.9, 20, 1000, 0, 1, "((1.03164+(0.000807359*x))+(-1.32589e-06*(x*x)))+(8.07817e-10*(x*(x*x)))" 
0, incl, down, 2, 0.6, 0.9, 20, 1000, 0, 1, "((0.985672+(0.00060669*x))+(-6.68684e-07*(x*x)))+(2.95911e-10*(x*(x*x)))" 
0, incl, up, 2, 0.6, 0.9, 20, 1000, 0, 1, "((1.07762+(0.00100702*x))+(-1.98086e-06*(x*x)))+(1.31893e-09*(x*(x*x)))" 
0, incl, central, 2, 0.9, 1.2, 20, 1000, 0, 1, "((1.0199+(0.000845761*x))+(-1.43965e-06*(x*x)))+(8.21193e-10*(x*(x*x)))" 
0, incl, down, 2, 0.9, 1.2, 20, 1000, 0, 1, "((0.978462+(0.000612762*x))+(-6.82994e-07*(x*x)))+(2.25901e-10*(x*(x*x)))" 
0, incl, up, 2, 0.9, 1.2, 20, 1000, 0, 1, "((1.06136+(0.00107776*x))+(-2.19429e-06*(x*x)))+(1.41591e-09*(x*(x*x)))" 
0, incl, central, 2, 1.2, 1.5, 20, 1000, 0, 1, "((0.968885+(0.00116332*x))+(-2.15315e-06*(x*x)))+(1.12895e-09*(x*(x*x)))" 
0, incl, down, 2, 1.2, 1.5, 20, 1000, 0, 1, "((0.933171+(0.00107522*x))+(-1.8168e-06*(x*x)))+(8.16174e-10*(x*(x*x)))" 
